French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
Quelqu'un enseigne quelqu'un (A),VTA isc,Agakim8mek,Verbe,"Laurent, 1884, p.182",,
Enseigne quelqu'un (A),VTA;2;s;impératif,Agakima,Verbe,"Laurent, 1884, p.182",,
Enseignez quelqu'un (A),VTA;2;p;impératif,Agakimogw,Verbe,"Laurent, 1884, p.182",,
Étudiant,NA,Agakimzowinno,Nom;Personne,"Source (Charland, O'Bomsawin, O'Bomsawin, 2021, p. 13)",,
Marmotte,NA,Agaskw,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.45",,
Trou de marmotte,NI,Agaskw8lagw,Nom,"Day, 1994, p.12",,
Ouaouaron,NA,Agbalam,Nom;Animal;Amphibien,"Wz8khilain, 1830, p.51",,
Quelqu'un compte ou lit quelquechose (I),VTI isc,Agid8zik,,"Laurent, 1884, p.182",,
Compte ou lis quelquechose (I),VTI;2;s;impératif,Agida,,"Laurent, 1884, p.182",,
Comptez ou lisez quelquechose (I),VTI;2;p;impératif,Agidamogw,,"Laurent, 1884, p.182",,
Compte ou lis quelquechose (A),VTA;2;s;impératif,Agidma,,"Laurent, 1884, p.182",,
Quelqu'un compte ou lit quelquechose (A),VTA isc,Agim8mek,,"Laurent, 1884, p.182",,
Comptez ou lisez quelquechose (A),VTA;2;p;impératif,Agimogw,,"Laurent, 1884, p.182",,
Compte ou lis quelquechose,VAI;2;s;impératif,Agizi,,"Laurent, 1884, p.182",,
Comptez ou lisez quelquechose,VAI;2;p;impératif,Agizigw,,"Laurent, 1884, p.182",,
Quelqu'un compte ou lit,VAI isc,Agizimek,,"Laurent, 1884, p.182",,
Un nombre,NA,Agizow8gan,Nom,"Day, 1994, p.13",,
Eux/Elles,PP,Agm8w8,,"Wz8khilain, 1830, p.83",,
Eux-même,Pronom personnel,Agm8w8tta,,"Wz8khilain, 1830, p.84",,
Elle,PP,Agma,,"Wz8khilain, 1830, p.83",,
Il,PP,Agma,,"Wz8khilain, 1830, p.83",,
Lui,PP,Agma,,"Wz8khilain, 1830, p.83",,
Lui/Elle,PP,Agma,,"Wz8khilain, 1830, p.83",,
"En lui/elle, vers lui/elle, depuis lui/elle, de lui/elle",PP,Agmak,,"Wz8khilain, 1830, p.83",,
Toi-même,Pronom personnel,Agmatta,,"Wz8khilain, 1830, p.84",,
Champignon,NA,Agw8dawas,Nom,"Day, 1994, p.16",,
Il est dit,PT,Agwa,,"Day, 1994, p.14",,
"Actuellement, réellement, aussi",Adv,Agwachi,Adverbe,"Day, 1994, p.14",,
Rideau,NI,Agwanagiadigan,,"Laurent, 1884, p.64",,
Jumeaux,NA,Agwaso,Nom;Personne,"Day, 1994, p.15",,
Légume racine.,NA,Agwezit,Nom;Plante;Légume,"Day, 1994, p.16",,
Légume racine,VAI,Agwizit,Verbe;Plante;Légume,"Day, 1994, p.16",,
