French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
"Se séparer, Marcher à l'opposé",,Chbosa,,"Wz8khilain, 1830, p.44",,
Mur,NI,Chebesagahigan,,"Laurent, 1884, p.88",,
Quelqu'un brûle ou allume quelquechose (A).,VTA isc,Chegas8mek,,"Laurent, 1884, p.183",,
Quelqu'un brûle ou allume quelquechose (I).,VTA;1;s;présent,Chegas8zik,,"Laurent, 1884, p.183",,
Brûle ou allume quelquechose (A).,VTA;2;s;impératif,Chegasa,,"Laurent, 1884, p.183",,
Brûle ou allume quelquechose (I).,VTI;2;s;impératif,Chegasa,,"Laurent, 1884, p.183",,
Brûlez ou allumez quelquechose (I).,VTI;2;p;impératif,Chegasemogw,,"Laurent, 1884, p.183",,
"Allumette, petit instrument d'allumage.",NI,Chegasiganis,,"Day, 1994, p.143",,
Brûlez ou allumez quelquechose (A).,VTA;2;p;impératif,Chegasogw,,"Laurent, 1884, p.183",,
Grenouille,NA,Chegual,,"Laurent, 1884, p.39",,
Grenouille,NA,Chegwal,Animal;Amphibien,"Nolett-Ille, 1996, p.23",,
Martin-pêcheur,NA,Cheskwadadas,,"Laurent, 1884, p.37","Nolett-Ille, 1996, p.18",
Fantôme,NA,Chibai;Chibaï,,"Wz8khilain, 1830, p.44","Nolett-Ille, 1996, p.41",
Quand,Adv,Chiga,,"Wz8khilain, 1830, p.44",,
Quand naissais-tu?,,Chiga aln8baïanob?,,,,
Rasoir,NI,Chigitwahigan,,"Wz8khilain, 1830, p.63",,
Rasoir,NI,Chigitwahigan,,"Wz8khilain, 1830, p.63",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Aubépine (le fruit),NA,Chignaz,Nom;Plante;Fruit,"Wz8khilain, 1830, p.44",,
Aubépine (l'arbre),NA,Chignazakwam,Nom;Plante;Arbre,"Laurent, 1884, p.32",,
Le ronflement,NI,Chigwalakwsow8gan,,"Laurent, 1884, p.23",,
Bébé,NA,Chijis,Nom;Personne,"Rousseau, 1947, p. 46",,
Trillium Erectum (Trille Rouge),NA,Chijis,Nom;Plante,"Rousseau, 1947, p. 46",,
Martinet ramoneur,NA,Chimeliilhasis,Nom;Animal;Oiseau,"Laurent, 1884, p.37",,
Cheminée,NI,Chimli;Kchimli,Nom;Maison,"Wz8khilain, 1830, p.45",,
Jus,NI,Chitasaz8bo,Nom,"Day, 1994, p.248",,
Fromage,NI,Chiz,Nom;Objet;Nourriture,"Laurent, 1884, p.30",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Vacher à tête brune (oiseau noir),NA,Chogleskw,Nom;Animal;Oiseau,"Wz8khilain, 1830, p.44",,
Commandement (bible),NI,Chowagidamw8gan,,"Laurent, 1884, p.88",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
"Certain, devoir, falloir, sûrement",Adv,Chowi,,"Wz8khilain, 1830, p.44",,
"Plus tard, Enfin",Adv,Daki,,"Day, 1994, p.153",,
Canot,NI,Dol,,"Laurent, 1884, p.114",,
L’année passée,VII,Gadenaga,,"Nolett-Ille, 1996, p.2","Wz8khilain, 1830, p.88",
Cela fait plusieurs fois,VII;3;s;présent,Gasta,Verbe,"Laurent, 1884, p.79",,
"Soit capable de faire quelquechose, Ait fait quelquechose",VTA;2;s;Impératif,Gizito,,"Day, 1994, p.213",,
Dis-moi,VTA,Hli,,"Laurent, 1884, p.117",,
Quatre (chiffre),Numéral,Iaw,Numéral,"Laurent, 1884, p.73",,
Quatorze (nombre),Numéral,Iaw8kaw,Numéral,"Laurent, 1884, p.74",,
Quatre (objets animés),Adjectif numéral cardinal animé,Iawak,,,,
Jeudi,NI,Iawda alokan,,"Laurent, 1884, p.19",,
Jeudi,NI,Iawdasanda,,"Nolett-Ille, ???, p.126",,
Quatre (objets inanimés),Adjectif numéral cardinal inanimé,Iawnol,,,,
Quelqu'un dit quelquechose (I),VTI isc,Id8zik,,"Laurent, 1884, p.183",,
Dis quelquechose (I),VTI;2;s;impératif,Ida,,"Laurent, 1884, p.183",,
Dites quelquechose (I),VTI;2;p;impératif,Idamogw,,"Laurent, 1884, p.183",,
Anglais,NA,Iglism8n,,"Laurent, 1884, p.53",,
La langue anglaise,NI,Iglism8n8dwaw8gan,,"Nolett-Ille, 1996, p.27",,
Quelqu'un défends quelquechose (I),VTI isc,Ik8d8zik,,"Laurent, 1884, p.183",,
Défends quelquechose (I),VTI;2;s;impératif,Ik8da,,"Laurent, 1884, p.183",,
Défendez quelquechose (I),VTI;2;p;impératif,Ik8demogw,,"Laurent, 1884, p.183",,
Quelqu'un défends quelqu'un ou quelquechose (A),VTA isc,Ik8l8mek,,"Laurent, 1884, p.183",,
Défends quelqu'un ou quelquechose (A),VTA;2;s;impératif,Ik8la,,"Laurent, 1884, p.183",,
Des gens se défendent ensemble.,VTA isc,Ik8ldimek,,"Laurent, 1884, p.183",,
Défendez quelqu'un ou quelquechose (A),VTA;2;p;impératif,Ik8logw,,"Laurent, 1884, p.183",,
Défends,VAI;2;s;impératif,Ik8lwa,,"Laurent, 1884, p.183",,
Défendez,VAI;2;p;impératif,Ik8lwagw,,"Laurent, 1884, p.183",,
Quelqu'un défends,VAI isc,Ik8lwamek,,"Laurent, 1884, p.183",,
Défend-toi toi-même,VAI;2;s;Impératif,Ik8lzi,,"Laurent, 1884, p.183",,
Défend-vous vous-même,VAI;2;p;Impératif,Ik8lzigw,,"Laurent, 1884, p.183",,
Quelqu'un se défend lui-même,VAI isc,Ik8lzimek,,"Laurent, 1884, p.183",,
Irlandais,NA,Ill8da,,"Laurent, 1884, p.53",,
Le gaélique irlandais,NI,Ill8da8dwaw8gan,,"Laurent, 1884, p.53",,
Pendant qu'il vit/vivant.,VAI,Ill8wzit,,"Day, 1994, p.238",,
Ceci (à proximité),Pronom démonstratif Inanimé,Io,,"Laurent, 1884, p.92",,
Ici,Adv,Iotali,,"Nolett-Ille, 1996, p.24",,
Quel âge as-tu?,,K'kasigadma?,,"Laurent, 1884, p.99",,
J'aime,VTI,K'kazaldam,,,,
J'aime,,K'kazalga,,,,
J'aime,VTA,K'kazalm8,,,,
Tu as vendu quelquechose (A) de défini à quelqu'un.,VTAd,K'kiz8nkolh8n,,"Laurent, 1884, p.71",,
Tu me parles,VTA,K'kloli,,"Nolett-Ille, 1996, p.36",,
Je te parle,VTA,K'klolil,,"Nolett-Ille, 1996, p.36",,
Tu parles,VAI,K'klozi,,"Nolett-Ille, 2006, p.32",,
Je t'aime,VTA,K'kzalmel,,"Nolett-Ille, 1996, p.1",,
Tu m'aimes,VTA,K'kzalmi,,"Nolett-Ille, 1996, p.1",,
Tu commences,VAI,K'm8ja,,"Nolett-Ille, 1996, p.10",,
Tu achètes quelquechose (A) de défini.,VTAd,K'manoh8,,"Laurent, 1884, p.72",,
Vous achetez quelquechose (I) d'indéfini.,VTIi,K'manohomba,,"Laurent, 1884, p.70",,
Vous achèterez quelquechose (I),VTI,K'manohombaji,,"Laurent, 1884, p.70",,
Tu me demandes,,K'nadodmawi,,"Nolett-Ille, 1996, p.13",,
Je te demande,,K'nadodmawol,,"Nolett-Ille, 1996, p.13",,
Je te comprends,,K'wawtamel,,"Nolett-Ille, 1996, p.10",,
Tu me comprends,,K'wawtami,,"Nolett-Ille, 1996, p.10",,
Nous (inclusif) prenons quelquechose (I) d'indéfini.),VTIi,K'wikwnemobna,,"Laurent, 1884, p192",,
Nous (inclusif) prendrions quelquechose (I) d'indéfini.,VTIi,K'wikwnemobnaba,,"Laurent, 1884, p192",,
Tu as raison,VAI,K'wl8ma;K'ol8ma,,"Laurent , 1884, p.94",,
Tu es le (ou) la bienvenu(e),VAI;2;s;présent,K'wlipaï8,,"Nolett-Ille, 1996, p.5",,
"Donc, Ainsi, Comme",Conjonction,K8dak,,"Laurent, 1884, p.89",,
Un cri,NI,K8g8lwaw8gan,,"Laurent, 1884, p.23","Laurent, 1884, p.36",
Porc-épic,NA,K8gw,,,,
Veine,NA,K8jo,Nom;Corps,"Laurent, 1884, p.25",,
Petite veine,NA,K8jois,Nom;Corps,"Day, 1994, p.258",,
"Dentaire, Dentaria Diphylla",NA,K8joisak,Nom;Plante,"Day, 1994, p.258",,
Outarde,NA,K8k,Nom;Animal;Oiseau,,"Nolett-Ille, 1996, p.39",
"Thé des bois, Gaultheria procumbens",NA,K8k8gowibagw,Nom;Plante,"Rousseau, 1947, p. 43",,
Petite planche de Thuya pour faire canot,NA,K8ksk,Nom;Plante;Arbre,"Rasles, 1831, p.403",,
Porc-épic,NA,K8kw,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.44",,
Pot,NA,K8tkokw,,"Wz8khilain, 1830, p.46","Nolett-Ille, 1996, p.17",
Groseille,NA,K8wakwimen,Nom;Plante;Fruit,"Laurent, 1884, p.31",,
Épine/Plume de porc-épic,NA,K8wi;K8wis,,"Wz8khilain, 1830, p.45",,
Quelquechose (I) est piquant ou rude.,VII;3;s;présent,K8wigen,,,,
Chardon,NA,K8wis,,"Wz8khilain, 1830, p.46","Laurent, 1884, p.37",
Goéland,NA,Kaakw,Nom;Animal;Oiseau,"Wz8khilain, 1830, p.45",,
"En effet, en réalité",Conjonction,Kaalaki,,"Laurent, 1884, p.90",,
Wagon de train,NI,Kaas,Nom;Véhicule,"Laurent, 1884, p.41",,
Locomotive,NI,Kaas8dep,Nom;Véhicule,"Day, 1994, p.249",,
Chemin de fer,NI,Kaas8wdi,Nom;Lieu,"Day, 1994, p.249",,
Pont de train,NI,Kaasilesagw8gan,Nom;Lieu,"Day, 1994, p.249",,
Wagon de train ou auto,NI,Kaaz,Nom,"Day, 1994, p.249",,
Esturgeon,NA,Kabasa,Nom;Animal;Poisson,"Wz8khilain, 1830, p.51",,
Chou,NI,Kabij,Nom;Plante;Légume,"Wz8khilain, 1830, p.46",,
Samedi,NI,Kadawsanda,,"Laurent, 1884, p.19",,
Vouloir de… (faire une action),Préverbe,Kadi,,"Nolett-Ille, 2006, p.50",,
Ennemi,NA,Kadonkawinno,,"Nolett-Ille,1996, p.16",,
Breuvage,NI,Kadosmow8gan,,"Laurent, 1884, p.70",,
"Clavalier d'Amérique, Xanthoxylum americanum ",NA,Kag8wakw,Nom;Plante;Arbre,"Rousseau, 1947, p. 41",,
Ambition,NI,Kagazwidah8zow8gan,,"Nolett-Ille, 1996, p.2",,
"Très fort, Brave",Participle,Kagini,,"Day, 1994, p.175",,
Pourquoi,,Kagui weji,,"Laurent, 1884, p.113",,
"Vidange, quelquechose de sale, rebus",NI,Kagwejakw,Nom;Objet,"Day, 1994, p.177",,
Poubelle,NI,Kagwejakwitawtigan,Nom;Objet,Philippe Charland,,
Quelquechose,I?,Kagwes,,"Wz8khilain, 1830, p.86",,
Quoi,,Kagwi,,"Laurent, 1884, p.91","Laurent, 1884, p.113",
Comment t'appelles-tu?,,Kagwi kd'aliwizi?,,"Laurent, 1884, p.92",,
Qu'est-ce qui se passe?,,Kagwi lla?,,"Laurent, 1884, p.91",,
Quelquechose,Pronom indéfini,Kagwi;Kagui,,"Nolett-Ille, 1996, p.41","Nolett-Ille, 1996, p.41",
Certainement,Adv,Kahalaki;Gahalaki,,"Day, 1994, p.177",,
Lait épais (caillé?),I ?,Kaia,,"Wz8khilain, 1830, p.45",,
Lézard,NA,Kakad8l8gw,Nom;Animal;Reptile,"Laurent, 1884, p.39",,
De plus en plus,Adv,Kakaswi,Adverbe,"Laurent, 1884, p.115",,
Quoi,Pronom interogatif,Kakwsa,Pronom,"Day, 1994, p.177",,
"Effectivement, vraiment, en fait",Adv,Kalaato,Adverbe,"Laurent, 1884, p.86",,
Biscuit,NA,Kalak8n,,"Laurent, 1884, p.30",,
Calèche,NI,Kalas,,"Wz8khilain, 1830, p.46",,
Carotte,NA,Kalot,Nom;Plante;Légume,"Nolett-Ille, 1996, p.7",,
"Une exclamation qui exprime l'étonnement, dérision ou l'ironie",Participe,Kam8ji,,"Laurent, 1884, p.91",,
Il trempe quelquechose (A) ou quelqu'un.,VTA;3;s;Présent,Kamgwena,,"Laurent, 1884, p.106",,
Canal,NI,Kanal,Nom;Lieu,"Laurent, 1884, p.40",,
Saule,NA,Kanozas,Nom;Plante;Arbre,"Laurent, 1884, p.32",,
Cependant,Adv,Kanwa,,"Laurent, 1884, p.90",,
Mais,Adv,Kanwa,,"Laurent, 1884, p.90",,
Vache,NA,Kaoz,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.45",,
Grange,NI,Kaozigamikw,Nom;Lieu,"Masta, 1932, p.105",,
Veau,NA,Kaozis,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.51",,
Mouche à vache,NA,Kaoziwjawas,Nom;Animal;Insecte,Philippe Charland,,
Café,NI,Kapi,,"Day, 1994, p.251",,
Un café - le restaurant,NI,Kapigamikw,Nom;Lieu,,,
Avec,Particule,Kasi,,"Nolett-Ille, ???, p.22",,
Tant d’année(s) passée(s),VII,Kasigaden,,"Day, 1994, p.182",,
L’âge de quelqu’un.,NI,Kasigadmaw8gan,Nom,Charland,,
Linge à vaisselle,NI,Kasijwahigan,Nom;Objet,"Day, 1994, p.181",,
Dessert,NI,Kasilawahosow8gan,Nom,"Laurent, 1884, p.29",,
Avec,Adv,Kasiwi,,"Laurent, 1884, p.88",,
Casquette,NI,Kask,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.44",,
Bruant chanteur,NA,Kaskaljas,Nom;Animal;Oiseau,"Laurent, 1884, p.37",,
C’est large,VII,Kaskigen,,"Day, 1994, p.252",,
"Iris Versicolor, qui rend engourdi",NA,Kaskimokask,Nom;Plante;Fleur,"Rousseau, 1947, p. 47",,
C'est engourdi,"VAI,VII",Kaskimoo,Verbe,"Day, 1994, p.260",,
Il est large,VAI,Kaskizo,,"Day, 1994, p.252",,
Grand Héron,NA,Kasko,Nom;Animal;Oiseau,"Wz8khilain, 1830, p.45",,
Assez,Adv,Kaskwaï,,"Laurent, 1884, p.87",,
Fois (Combien de fois) - i.e. Noliwi kasta,,Kasta,,"Wz8khilain, 1830, p.45",,
Combien,,Kaswak nawa,,"Laurent, 1884, p.117",,
Fruit abbatu par le vent,NA,Kawasen,,"Laurent, 1884, p.32",,
Quelqu’un gagne.,VAI isc,Kawhoamek,,"Laurent, 1884, p.186",,
Quelquechose,NI,Kawi,,"Laurent, 1884, p.19",,
Traîneau,I?,Kawzowahdigan,,"Wz8khilain, 1830, p.64",,
Ferme quelquechose (I).,VTI;2;s;Impératif,Kbaha,,"Laurent, 1884, p.96",,
Prison,NI,Kbahodwigamikw,Nom;Lieu,"Laurent, 1884, p.40",,
Ainé,NA,Kchai,,"Laurent, 1884, p.20","Nolett-Ille, 1996, p. 22",
"Grand, Gros",,Kchi,,"Laurent, 1884, p.65",,
Parasol,NI,Kchi 8bagawatahigan,Nom;Objet,Philippe Charland,,
Route (grande rue),NI,Kchi 8wdi,Nom;Lieu,Charland,,
Grand lac,NI,Kchi Nebes,Nom;Lieu,"Wz8khilain, 1830, p.45",,
Université,,Kchi adalagakidimek,,,,
Fruit du cerisier tardif,NI,Kchi adbimen,Nom;Plante;Fruit,"Day, 1994, p.197",,
Cerisier tardif,NA,Kchi adbimenakwam,Nom;Plante;Arbre,"Day, 1994, p.197",,
Orgue ou piano,NI,Kchi l8baktahigan,,"Laurent, 1884, p.50",,
Châle,NI,Kchi moswa,,"Nolett-Ille, 1996, p.8",,
"Dieu, Le grand esprit",NA,Kchi niwaskw,,"Laurent, 1884, p.13",,
Ville,NI,Kchi odana,Nom;Lieu,"Laurent, 1884, p.89",,
Grande rivière,NA,Kchi tegw,,"Wz8khilain, 1830, p.45",,
Rat,NA,Kchi w8bikwsos,Nom;Animal;Mammifère,"Nolett-Ille, 1996, p.42",,
Lampadaire,NI,Kchi wasakwlhanigan,Nom;Objet,Philippe Charland,,
Million (nombre),Numéral,Kchi-ngwed8mkwaki,Numéral,"Laurent, 1884, p.76",,
Tu vend quelquechose (A) de défini à quelqu'un.,VTAd,Kd'8nkolh8n,,"Laurent, 1884, p.71",,
Vous faites (occupation) (nombre défini),VAI,Kd'alalokaba,,"Laurent, 1884, p.92",,
Vous faites (occupation) (nombre indéfini),VAI,Kd'alalokhediba,,"Laurent, 1884, p.92",,
Tu commandais quelquechose (A) d'indéfini.,VTA;2;,Kd'alokamib,,"Laurent, 1884, p.72",,
Tu vas,,Kd'alosa,,,,
Vous allez,,Kd'alosaba,,,,
Nous allons (inclusif),,Kd'alosabna,,,,
Vous nourrissez quelqu'un (A) ou quelquechose de défini.,VTAd,Kd'asam8w8,,"Laurent, 1884, p.71",,
Vous nourririez quelqu'un (A) ou quelquechose de défini.,VTAd,Kd'asam8w8ba,,"Laurent, 1884, p.71",,
Tu m'attends,,Kd'askawihi,,"Nolett-Ille, 1996, p.2",,
Je t'attends,,Kd'askawihol,,"Nolett-Ille, 1996, p.2",,
Tu dis quelquechose (I) de défini,VTId,Kd'idamen,,"Laurent, 1884, p.93",,
Il coule,,Kdahla,,"Wz8khilain, 1830, p.45",,
L’autre,Pronom,Kdak,,"Nolett-Ille,1996, p.4",,
"Terre, le globe",NI,Kdakina;Kdakinna,,"Wz8khilain, 1830, p.43",,
Pitié,NI,Kdem8galdow8gan,Nom,"Laurent, 1884, p.13",,
Charité,NI,Kdem8galgaw8gan,Nom,"Laurent, 1884, p.14",,
Hululement,NA,Kdokwazit,,"Masta, 1932, p.17",,
Mésange,NA,Kejegigilhasis,Nom;Animal;Oiseau,"Laurent, 1884, p.37",,
"Ortie, fruit de la bardane, chardon, poux.",NA,Kejigos,Nom;Plante,"Day, 1994, p.190",Voir Rousseau.,
Fièvre,NI,Kezabzow8gan,,"Laurent, 1884, p.24",,
Toi,PP,Kia,,"Wz8khilain, 1830, p.83",,
"En toi, à toi, de toi",Pronom personnel,Kiakta,,"Wz8khilain, 1830, p.88",,
Lui-même,Pronom personnel,Kiatta,,"Wz8khilain, 1830, p.84",,
Ami (Ton),NA,Kid8ba,,,,
Ami (Notre inclusif),NA,Kid8bana,,,,
Ami (Votre ami),NA,Kid8baw8,,,,
Guêtre,NI,Kigan8bi,,"Wz8khilain, 1830, p.59",,
Champ,NI,Kik8n,Nom;Lieu,"Wz8khilain, 1830, p.45",,
Sème,VAI,Kika,,"Laurent, 1884, p.182",,
Semez,VAI,Kikagw,,"Laurent, 1884, p.182",,
Contre (positionnement),Adv,Kikajiwi,,"Laurent, 1884, p.88",,
Mai,NA,Kikas,,"Wz8khilain, 1830, p.89",,
Vous (indéfini),Pronom personnel,Kilw8w8,Pronom,"Wz8khilain, 1830, p.83",,
"Espion, celui qui se promène secrètement",VAI;3;s;Présent;Participe,Kimskasit,Nom;Personne,"Day, 1994, p.201",,
Un homme brave/courageux.,NA,Kin8ba,Nom;Personne,"Day, 1994, p.203",,
C'est une pente vers le haut qui est très abrupte.,VII;3;s;présent,Kin8ka,Verbe,"Day, 1994, p.204",,
C'est une pente vers le base qui est très abrupte.,VII;3;s;présent,Kin8ko,Verbe,"Day, 1994, p.204",,
De fortes vagues ou beaucoup de vagues,VII;3;s;présent,Kinategw,Verbe,"Day, 1994, p.201",,
"Fort, Beaucoup, Brave, Très",Préverbe;Particule,Kini,,"Masta, 1932, p.66",,
Il est très gras,VAI;3;s;Présent,Kinig8mo,,"Laurent, 1884, p.117",,
Roi,NA,Kinjames,,"Wz8khilain, 1830, p.51",,
Chateau,NI,Kinjamesgamikw,Nom;Lieu,"Laurent, 1884, p.40",,
Il vente fort,VII;3;s;présent,Kinl8msen,Verbe,"Laurent, 1884, p.115",,
Voyageur,NA,Kiodawinno,Nom;Personne,"Laurent, 1884, p.9",,
Nous (inclusif),Pronom personnel,Kiona,,"Wz8khilain, 1830, p.83",,
Nous-même (inclusif),Pronom personnel,Kionatta,,"Wz8khilain, 1830, p.84",,
Vous (Défini),Pronom personnel,Kiow8,,"Wz8khilain, 1830, p.83",,
Vous-même,Pronom personnel,Kiow8tta,,"Wz8khilain, 1830, p.84",,
Mois,NA,Kisos,,"Laurent, 1884, p.20",,
Quelqu'un décide quelquechose.,VTIi,Kist8zik,,"Laurent, 1884, p.88",,
J’erre (nom un géant mythique avec estomac de glace qui fait de lui un cannibal),VAI,Kiwakwa,,"Day, 1994, p.207",,
C'est le jour,VII;3;s;présent,Kizgat,,,"Nolett-Ille, 1996, p.2",
"Après,Passé,Déjà produit",Adj,Kizi,,"Laurent, 1884, p.86",,
Peux… (faire une action),Préverbe,Kizi,,"Nolett-Ille, 2006, p.51",,
Tu as vendu quelquechose (A) de défini à quelqu'un.,VTAd,Kizi kd'8nkolh8n,,"Laurent, 1884, p.71",,
J'ai vendu quelquechose (I) d'indéfini à quelqu'un.,VTIi,Kizi nd'8nkolh8,,"Laurent, 1884, p.71",,
Après-midi,NA,Kizi paskwa,,"Day, 1994, p.80",,
Jour,NI,Kizokw,,"Wz8khilain, 1830, p.45",,
Soleil,NA,Kizos,,"Wz8khilain, 1830, p.45",,
Il fait soleil,VAI;3;s;Présent,Kizosoo,,"Laurent, 1884, p.104",,
Lundi,VII,Kizsanda,,"Laurent, 1884, p.19",,
Poupée,NI,Kjok8n,,"Nolett-Ille, 1996, p.39",,
C'est glacé,VII;3;s;présent,Kladen,,"Wz8khilain, 1830, p.46",,
Crème glacée,NI,Kladenilaklam,Nom,Charland,,
Trappe en bois,NI,Klahigan,,"Laurent, 1884, p.48",,
Gel (le),NI,Klajmow8gan,,"Wz8khilain, 1830, p.46",,
Porte,NI,Klh8gan,,"Laurent, 1884, p.88",,
Parlez à quelqu'un.,VTA;2;p;Impératif,Klol8gw,,"Laurent, 1884, p.183",,
Quelqu'un parle à quelqu'un.,VTA isc,Klol8mek,,"Laurent, 1884, p.183",,
Parle à quelqu'un.,VTA;2;s;impératif,Klola,,"Laurent, 1884, p.183",,
Parlez.,VAI;2;p;Impératif,Kloligw,,"Laurent, 1884, p.183",,
Parle.,VAI;2;s;Impératif,Klozi,,"Laurent, 1884, p.183",,
Quelqu'un parle.,VAI isc,Klozimek,,"Laurent, 1884, p.183",,
"Discours,Parole,Mot",NI,Klozow8gan,,"Nolett-Ille, ????, p.78",,
Pou,NA,Km8,Nom;Animal;Insecte,"Day, 1994, p.253",,
Ancêtres (Nos),NA,Kmahomnogak,,"Nolett-Ille, 1996, p.2",,
Pin blanc,NA,Koa,Nom;Plante;Arbre,"Laurent, 1884, p.203",,
Sapin baumier,NA,Kokokh8akw,Nom;Plante;Arbre,"Laurent, 1884, p.32",,
"Nom commun pour grand hibou, nom spécifique de la chouette rayée.",NA,Kokokhas,Nom;Animal;Oiseau,"Wz8khilain, 1830, p.51","Nolett-Ille, 1996, p.6",
Bouilloire,NA,Kokw,,"Wz8khilain, 1830, p.44",,
Écossais,NA,Koswak,,"Laurent, 1884, p.53",,
Le gaélique écossais,NI,Koswaki8dwaw8gan,,"Laurent, 1884, p.53",,
Chèvre,NA,Kots,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.44",,
Quelquechose (I) est épais.,VII;3;s;présent,Kpaga,,,,
Ce (I) qui est épais.,Adj,Kpagak,,"Laurent, 1884, p.68",,
Épais,Particule,Kpagi,,"Laurent, 1884, p.65",,
Ce (A) qui est épais.,Adj,Kpagizit,,"Laurent, 1884, p.68",,
Bois (dans le bois),NI,Kpiwi,Nom;Lieu,"Wz8khilain, 1830, p.46",,
Bateau,NI,Ktolagw,,"Wz8khilain, 1830, p.46",,
Beaucoup,,Kuina,,"Laurent, 1884, p.98",,
Dehors,Adv,Kwajmiwi,,"Laurent, 1884, p.87",,
Durant,Préposition,Kwani,,"Laurent, 1884, p.88",,
Toute l’année,"VII, conjonctif",Kwanigadek,,"Nolett-Ille,1996, p.2",,
Toute la semaine,VII,Kwanisandak,,"Nolett-Ille, ???, p.208",,
Poire,NA,Kwanowagazit aples,Nom;Plante;Fruit,"Day, 1994, p.225",,
"Exactement, juste, assez, correct.",Particule,Kwaskwai,,"Laurent, 1884, p.103",,
Tasse,NA,Kwat,,"Wz8khilain, 1830, p.44",,
Tasse,NA,Kwatsis,,"Nolett-Ille, 1996, p.48",,
Bonjour,,Kwaï,,,,
Derrière,Adv,Kwelbiwi,,"Laurent, 1884, p.88",,
Quelquechose (I) est long (dans le temps),VII;Z,Kwena,,"Nolett-Ille,???, p.134",,
Longuement (dans le temps),Adv,Kwenawi,,Philippe Charland,,
Brochet,NA,Kwenoza,Nom;Animal;Poisson,"Wz8khilain, 1830, p.47",,
Ceinture,NI,Kwetgwabizon,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.60",,
Nom commun pour un canard. Nom spécifique du Canard noir.,NA,Kwigwigem,Nom;Animal;Oiseau,"Nolett-Ille, 1996, p.7","Laurent, 1884, p.37",
Merle d'amérique,NA,Kwikweskas,Nom;Animal;Oiseau,"Wz8khilain, 1830, p.55",,
"Beaucoup, Grand",Particule,Kwina,,"Day, 1994, p. 232","Nolett-Ille, 1996, p.7",
"Vraiment beaucoup, très grand",Particule,Kwinata,,"Day, 1994, p. 232",,
Bouillon,NI,Kz8bo,,"Wz8khilain, 1830, p.45",,
C’est (A) précieux,VAI,Kz8wado,,"Wz8khilain, 1830, p.50",,
C’est (I) précieux,VII,Kz8wado,,"Wz8khilain, 1830, p.50",,
Précieusement,Adv,Kz8wadowi,,"Day, 1994, p. 196",,
C'est un bâton chaud,VII;3;s;présent,Kzabakweda,,,,
C'est de l'eau chaude,VII;3;s;présent,Kzabata,,,,
Il fait chaud,VII;3;s;présent,Kzabda,,"Wz8khilain, 1830, p.45",,
Fièvre,NI,Kzabzow8gan,,"Day, 1994, p.194",,
Quelqu'un aime quelquechose (I).,VTI,Kzald8zik,,"Laurent, 1884, p.185",,
Aime quelquechose (I).,VTI,Kzalda,,"Laurent, 1884, p.185",,
Celui qui aime quelquechose (I),VAI;3;s;présent;Conjoint,Kzaldak,,,,
Aimez quelquechose (I).,VTI,Kzaldamogw,,"Laurent, 1884, p.185",,
Aime.,VAI,Kzalga,,"Laurent, 1884, p.185",,
Aimez.,VAI,Kzalgagw,,"Laurent, 1884, p.185",,
Quelqu'un aime.,VAI isc,Kzalgamek,,"Laurent, 1884, p.185",,
Quelqu'un aime quelqu'un ou quelquechose (A).,VTA,Kzalm8mek,,"Laurent, 1884, p.185",,
Celui qui aime quelque'un ou quelquechose (A),VAI;3;s;présent;Conjoint,Kzalm8t,,,,
Aime quelqu'un ou quelquechose (A).,VTA,Kzalma,,"Laurent, 1884, p.185",,
Soit aimé.,VAI,Kzalmegwzi,,"Laurent, 1884, p.177",,
Soyez aimé.,VAI,Kzalmegwzigw,,"Laurent, 1884, p.177",,
Quelqu'un est aimé.,VAI isc,Kzalmegwzimek,,"Laurent, 1884, p.177",,
Aimez quelqu'un ou quelquechose (A).,VTA,Kzalmogw,,"Laurent, 1884, p.185",,
Il vente,VII;3;s;présent,Kzel8msen,,"Wz8khilain, 1830, p.50",,
La chose va vite,VII;3;s;présent,Kzihla,Verbe,"Laurent, 1884, p.114",,
Bretelles,NI,L8bakhigan,Nom;Vêtement,"Wz8khilain, 1830, p.66",,
Violon,NI,L8baktahigan,Nom;Objet,"Laurent, 1884, p.50",,
"Regarde, vois",VAI;2;s;Impératif,L8bi,Verbe,"Day, 1994, p.277",,
"Lunette téléscopique, jumelles",NI,L8bodi,Nom;Objet,"Wz8khilain, 1830, p.55",,
Escalier ou échelle,NI,L8daw8gan,Nom;Objet,"Laurent, 1884, p.277",,
Langue (le language),NI,L8dwaw8gan,Nom,"Masta, 1932, p.48",,
Patin,NI,L8gemapozow8gan,Nom;Objet,"Day, 1994, p.277",,
L’adoration,NI,L8gitowadw8gan,Nom,"Laurent, 1884, p.14",,
